epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,842.636,0.95324,0.61185,0.85395,0.79753,0.50505,0.59087,0.40815,0.94135,0.59623,0.84128,0.000543944,0.000543944,0.000543944
133,849.04,0.93438,0.60412,0.8512,0.74682,0.5385,0.60755,0.41991,0.92379,0.59699,0.83924,0.000543325,0.000543325,0.000543325
134,855.388,0.91486,0.60129,0.84946,0.69464,0.52041,0.58281,0.40667,0.93327,0.59523,0.83747,0.000542706,0.000542706,0.000542706
135,861.709,0.93433,0.61193,0.85016,0.67802,0.53481,0.58337,0.39494,0.94794,0.61256,0.84218,0.000542087,0.000542087,0.000542087
136,868.216,0.92382,0.5965,0.85054,0.67087,0.5442,0.58449,0.40303,0.92871,0.58866,0.83859,0.000541469,0.000541469,0.000541469
137,874.415,0.92982,0.59914,0.84985,0.76976,0.49829,0.5618,0.39558,0.94357,0.59718,0.84066,0.00054085,0.00054085,0.00054085
138,880.713,0.93786,0.60231,0.85485,0.73545,0.52108,0.57235,0.4016,0.94651,0.6015,0.84047,0.000540231,0.000540231,0.000540231
139,886.961,0.96016,0.61192,0.85455,0.70098,0.52861,0.57585,0.3951,0.94401,0.59502,0.84045,0.000539613,0.000539613,0.000539613
140,893.359,0.93544,0.59663,0.84966,0.65477,0.50721,0.55049,0.38979,0.96471,0.59889,0.84449,0.000538994,0.000538994,0.000538994
141,899.639,0.9447,0.60379,0.84938,0.69099,0.5377,0.5839,0.408,0.93856,0.58516,0.84016,0.000538375,0.000538375,0.000538375
142,906.127,0.93525,0.60007,0.84735,0.74256,0.52521,0.59763,0.42215,0.89873,0.56937,0.83371,0.000537756,0.000537756,0.000537756
143,912.4,0.93325,0.59827,0.84921,0.78685,0.50456,0.59215,0.40787,0.92119,0.58653,0.83783,0.000537137,0.000537137,0.000537137
144,918.695,0.92806,0.59497,0.84673,0.72854,0.51533,0.58435,0.40858,0.90382,0.5746,0.83577,0.000536519,0.000536519,0.000536519
145,924.829,0.92214,0.59508,0.85017,0.82256,0.50185,0.5926,0.41065,0.92933,0.59193,0.83835,0.0005359,0.0005359,0.0005359
146,931.154,0.91428,0.59064,0.84797,0.83723,0.50288,0.60397,0.41399,0.93854,0.58647,0.84107,0.000535281,0.000535281,0.000535281
147,937.434,0.91787,0.59086,0.85009,0.74453,0.53929,0.60434,0.41941,0.92077,0.57555,0.83808,0.000534663,0.000534663,0.000534663
148,943.815,0.93386,0.59929,0.85208,0.75005,0.51718,0.59649,0.407,0.96053,0.59078,0.84719,0.000534044,0.000534044,0.000534044
149,950.011,0.94185,0.5965,0.85462,0.69092,0.54404,0.58536,0.38701,1.03158,0.62872,0.86005,0.000533425,0.000533425,0.000533425
150,956.583,0.94948,0.60701,0.8534,0.78104,0.50657,0.57858,0.39247,0.98429,0.62472,0.84991,0.000532806,0.000532806,0.000532806
151,962.906,0.94405,0.60094,0.85109,0.76176,0.5198,0.57834,0.39509,0.95147,0.59543,0.84341,0.000532187,0.000532187,0.000532187
152,969.274,0.93269,0.58911,0.84919,0.73773,0.54451,0.60128,0.41069,0.93817,0.58489,0.84144,0.000531569,0.000531569,0.000531569
153,975.489,0.90852,0.58081,0.8485,0.85116,0.49856,0.5978,0.42113,0.91033,0.56924,0.83638,0.00053095,0.00053095,0.00053095
154,981.753,0.90862,0.58226,0.84872,0.76611,0.53561,0.59514,0.40947,0.94541,0.5793,0.84141,0.000530331,0.000530331,0.000530331
155,988.071,0.91325,0.57842,0.84681,0.80676,0.49772,0.59026,0.41111,0.91952,0.57473,0.83878,0.000529712,0.000529712,0.000529712
156,994.379,0.92773,0.58454,0.84922,0.81469,0.50416,0.60483,0.41828,0.9339,0.58431,0.84054,0.000529094,0.000529094,0.000529094
157,1000.67,0.92231,0.58388,0.84786,0.75219,0.51988,0.59272,0.4138,0.91864,0.57758,0.83599,0.000528475,0.000528475,0.000528475
158,1007.08,0.93947,0.59042,0.85015,0.77076,0.52452,0.59408,0.41428,0.91523,0.57144,0.83391,0.000527856,0.000527856,0.000527856
159,1013.4,0.95607,0.59164,0.84904,0.75489,0.54227,0.58915,0.40623,0.92631,0.57903,0.83828,0.000527238,0.000527238,0.000527238
160,1019.8,0.92051,0.58763,0.84951,0.74686,0.54184,0.59736,0.41673,0.89253,0.55901,0.83502,0.000526619,0.000526619,0.000526619
161,1026.19,0.89938,0.5694,0.8447,0.71838,0.56047,0.60619,0.42404,0.89016,0.5653,0.83439,0.000526,0.000526,0.000526
162,1032.55,0.89247,0.57032,0.84851,0.79664,0.53225,0.61002,0.42655,0.89038,0.55693,0.83306,0.000525381,0.000525381,0.000525381
163,1038.96,0.9179,0.57865,0.8466,0.81461,0.48424,0.58131,0.40471,0.91111,0.58709,0.8358,0.000524762,0.000524762,0.000524762
164,1045.29,0.91828,0.58306,0.84515,0.75425,0.52768,0.60393,0.41405,0.92563,0.57427,0.83731,0.000524144,0.000524144,0.000524144
165,1051.69,0.93452,0.58673,0.84991,0.75363,0.52742,0.59818,0.41708,0.90095,0.57488,0.83389,0.000523525,0.000523525,0.000523525
166,1058.04,0.90327,0.5759,0.84573,0.72272,0.52432,0.59213,0.41427,0.91675,0.58134,0.83636,0.000522906,0.000522906,0.000522906
167,1064.24,0.90424,0.5731,0.84626,0.74764,0.52526,0.58424,0.41119,0.90705,0.57892,0.835,0.000522288,0.000522288,0.000522288
168,1070.7,0.90992,0.5749,0.84644,0.81247,0.50908,0.59789,0.41971,0.90955,0.57977,0.83651,0.000521669,0.000521669,0.000521669
169,1076.98,0.89828,0.5639,0.84415,0.7676,0.52788,0.60003,0.41481,0.91997,0.57192,0.8374,0.00052105,0.00052105,0.00052105
